incident_date,city,state,description,plan,citatation
8/15/2015,mesa,az,Worker struck and killed by hay bale.,unknown,unknown
8/15/2015,burbank,va,Worker electrocuted by energized conveyors on elevator motor.,unknown,unknown
8/15/2015,san marcos,tx,Worker electrocuted while repairing generator. ,unknown,unknown
8/14/2015,edenton,nc,Worker drowned after falling from boat.,unknown,unknown
8/14/2015,farmers branch,tx,Employee struck and killed by forklift.,unknown,unknown
8/13/2015,albany,tx,Worker died after becoming caught in pumping unit.,unknown,unknown
8/13/2015,river rogue,mi,Worker died from burns suffered in diesel pipeline explosion.,unknown,unknown
8/13/2015,el paso,tx,Worker killed in fall from roof.,unknown,unknown
8/13/2015,revere,ma,Worker killed when dump truck tire exploded during inflation.,unknown,unknown
8/13/2015,massillon,oh,Worker struck and killed by tractor trailer.,unknown,unknown
8/13/2015,oak view,ca,Worker trimming palm tree killed when tree collapsed.,unknown,unknown
8/13/2015,tyler,al,Worker struck and killed by tractor and baler.,unknown,unknown
8/13/2015,pine grove,wv,Worker struck and killed by falling tree.,unknown,unknown
8/13/2015,middleburg,pa,Worker killed in fall from scaffolding.,unknown,unknown
8/13/2015,alhambra,il,Worker killed in fall from scaffolding.,unknown,unknown
8/12/2015,romney,wv,Worker fatally crushed under tracks of milling machine.,unknown,unknown
8/12/2015,mesa,az,Worker re-roofing residence electrocuted after contacting live wire.,unknown,unknown
8/12/2015,spokane,wa,Worked died from exposure to chlorine gas in storage tank.,unknown,unknown
8/12/2015,rison,ar,Worker struck and killed by trailer being lifted by log loader.,unknown,unknown
8/11/2015,pennington,al,Worker electrocuted while hanging cable.,unknown,unknown
8/11/2015,poth,tx,Worker struck and killed by motor grader.  ,unknown,unknown
8/11/2015,san pedro,ca,Worker driving tractor killed in collision with truck.,unknown,unknown
8/11/2015,itasca,il,Worker electrocuted by underground wiring.,unknown,unknown
8/11/2015,woodlawn,il,Worker struck and killed by falling tree.,unknown,unknown
8/11/2015,tampa,fl,Worker trimming tree killed in fall from ladder.,unknown,unknown
8/11/2015,pyote,tx,Three workers servicing well hospitalized for burns resulting from flash fire.,unknown,unknown
8/10/2015,locust grove,ga,Worker killed when lawnmower overturned.,unknown,unknown
8/10/2015,center,vt,Worker on roof electrocuted when ladder contacted overhead powerline.,unknown,unknown
8/10/2015,winchester,va,Worker fatally crushed when elevated load fell from forklift.,unknown,unknown
8/10/2015,hopewell,va,Worker died after being exposed to asbestos during abatement activities.,unknown,unknown
8/10/2015,west chester,oh,Worker killed in fall from roof.,unknown,unknown
